Hijri Year,1 Muḥarram,,1 Ramaḍān,,1 Shawwāl (Eid al-Fitr),,1 Dhu ʾl-Ḥijja,,10 Dhu ʾl-Ḥijja (Eid al-Adha),
,Announced,Computed,Announced,Computed,Announced,Computed,Announced,Computed,Announced,Computed
1421,6 Apr 2000,7 Apr 2000,27 Nov 2000,28 Nov 2000,27 Dec 2000,28 Dec 2000,24 Feb 2001,25 Feb 2001,5 Mar 2001,6 Mar 2001
1422,26 Mar 2001,27 Mar 2001,,17 Nov 2001,,17 Dec 2001,,14 Feb 2002,,23 Feb 2002
1423,15 Mar 2002,16 Mar 2002,6 Nov 2002,7 Nov 2002,,6 Dec 2002,,3 Feb 2003,,12 Feb 2003
1424,,5 Mar 2003,,27 Oct 2003,,26 Nov 2003,,24 Jan 2004,,2 Feb 2004
1425,,22 Feb 2004,,16 Oct 2004,14 Nov 2004,15 Nov 2004,12 Jan 2005,13 Jan 2005,21 Jan 2005,22 Jan 2005
1426,,11 Feb 2005,,5 Oct 2005,,4 Nov 2005,,2 Jan 2006,,11 Jan 2006
1427,,1 Feb 2006,,25 Sep 2006,,24 Oct 2006,,23 Dec 2006,,1 Jan 2007
1428,,21 Jan 2007,13 Sep 2007,14 Sep 2007,13 Oct 2007,14 Oct 2007,11 Dec 2007,12 Dec 2007,20 Dec 2007,21 Dec 2007
1429,10 Jan 2008,11 Jan 2008,,2 Sep 2008,,2 Oct 2008,,30 Nov 2008,,9 Dec 2008
1430,29 Dec 2008,30 Dec 2008,22 Aug 2009,23 Aug 2009,,21 Sep 2009,,19 Nov 2009,,28 Nov 2009
1431,18 Dec 2009,19 Dec 2009,,12 Aug 2010,10 Sep 2010,11 Sep 2010,,8 Nov 2010,,17 Nov 2010
1432,,8 Dec 2010,,2 Aug 2011,,31 Aug 2011,,29 Oct 2011,,7 Nov 2011
1433,,27 Nov 2011,,21 Jul 2012,,20 Aug 2012,,18 Oct 2012,,27 Oct 2012
1434,,16 Nov 2012,11 Jul 2013,10 Jul 2013,,9 Aug 2013,,7 Oct 2013,,16 Oct 2013
1435,,5 Nov 2013,30 Jun 2014,29 Jun 2014,,29 Jul 2014,,26 Sep 2014,,5 Oct 2014
1436,,26 Oct 2014,,19 Jun 2015,,18 Jul 2015,,15 Sep 2015,,24 Sep 2015
1437,,15 Oct 2015,,7 Jun 2016,,7 Jul 2016,,3 Sep 2016,,12 Sep 2016
1438,,3 Oct 2016,,28 May 2017,,26 Jun 2017,,24 Aug 2017,,2 Sep 2017
1439,,22 Sep 2017,,17 May 2018,,16 Jun 2018,,13 Aug 2018,,22 Aug 2018
1440,,12 Sep 2018,,7 May 2019,,5 Jun 2019,,3 Aug 2019,,12 Aug 2019
1441,,1 Sep 2019,24 May 2020,25 Apr 2020,,25 May 2020,,23 Jul 2020,,1 Aug 2020
1442,,21 Aug 2020,,14 Apr 2021,,14 May 2021,,12 Jul 2021,,21 Jul 2021
1443,,10 Aug 2021,,3 Apr 2022,,3 May 2022,,1 Jul 2022,,10 Jul 2022
1444,30 Jul 2022,31 Jul 2022,,24 Mar 2023,,22 Apr 2023,,20 Jun 2023,,29 Jun 2023
1445,,20 Jul 2023,,12 Mar 2024,,11 Apr 2024,,8 Jun 2024,,17 Jun 2024
1446,,8 Jul 2024,,2 Mar 2025,,31 Mar 2025,,29 May 2025,,7 Jun 2025
